ITEM_ID,GENRES,CREATION_TIMESTAMP
4bbbc88f-b18c-4693-bbd0-c986549c4a11,Drama,
6b8086d8-6fe5-4029-a95e-ee0d1b8e9658,Drama,
a426e3e7-876c-42f8-8335-5f5c71bc4ede,Drama,
00124b4d-b690-444b-8bd6-9f3533815a77,Drama,
a49d7da2-6a16-4204-93b6-70982717a0c7,Drama,
4a5ce2a1-4581-4575-8903-93b0f82142ec,Drama,
bfab925d-c64a-4549-ba60-5ab2cf85da76,Drama,
e50fe311-4ed7-4d0d-91ec-274e3750af34,Drama,
be3aa099-abe9-4ceb-a5fe-29ff0dac89d4,Drama,
033e496d-7318-4ab5-86d7-56af8b12bf12,Drama,
e73507ff-1509-47c8-b683-324674d57945,Drama,
df83ae45-e74c-4151-840f-acf8f043e2ad,Drama,
deb3b71e-1240-41d7-bbdd-9bca55422fa0,Drama,
2a47fe43-35aa-4d8a-a8e3-bdc4119834db,Drama,
58f058e7-cddf-4d42-9691-31687bba56e0,Drama,
edbcecd8-e7ac-4709-ae1b-576469ee400f,Drama,
a2a49d76-6a65-4de9-80a3-0250b3c7e278,Drama,
f076dd91-4db8-4614-9f7b-e624a14c3ae7,Drama,
e114deb0-b35a-4cb0-b429-525c2f469876,Drama,
dce313a0-f4c0-4f05-9cb0-95a91caf5ad7,Drama,
40538826-3632-418e-bd82-6fdf9315d5a2,Drama,
a8e8eada-b35b-4de8-8602-ae2967adaa17,Drama,
697ff91e-a0bc-421d-beb3-030171c0aacd,Drama,
2c64eec9-d5d2-4232-923d-e8b904c041c6,Drama,
8351228e-6f86-4532-bb67-911206071cde,Drama,
861623f9-31d2-4b68-95a7-f56a82d89f82,Drama,
5e950a94-9399-42dd-8dd1-d62c55aabb02,Drama,
229fbc44-4cef-403d-bbfb-a2e24cf139b6,Drama,
177d353e-5740-4e13-ac1a-8bb4a50278c7,Drama,
0b4ef681-29bc-4806-a4a3-3271498b1fe8,History,
9675eb7f-bc4d-4e9e-bf04-1aac011e219d,Drama,
ffaf0eb7-385c-4efc-a54e-6622baeb8c44,Drama,
900aa516-9ce4-42fa-b13f-18b808e8ca1b,Drama,
d7728dba-f334-490c-852f-7bc5acc894b8,Drama,
177d353e-5740-4e13-ac1a-8bb4a50278c7,Drama,
7201c77c-1ec1-4535-a9a4-6c2b22e0b6d5,Drama,
12c63190-0880-48bd-93d4-27719b999fe1,Drama,
174cd60c-95f8-4992-a264-b5113519dc11,Drama,
54531a81-2ca2-4872-a037-9b1ff6c1c653,Drama,
bfebe258-bb70-49b1-b41d-4e6df5fe5804,Drama,
4dcd2fc5-4662-42b9-bd74-713d34ec09a2,Drama,
177d353e-5740-4e13-ac1a-8bb4a50278c7,Drama,
7201c77c-1ec1-4535-a9a4-6c2b22e0b6d5,Drama,
c7dd113d-f234-43da-9509-94f67d341d4b,Drama,
05c693c8-8a62-4cb5-a28d-20d0acb4eaf9,Drama,
90c586b3-f9d5-4f2d-905e-6b52c6eed01f,Food,
be448422-4c21-46fe-89a8-f3dfe9c3a8c3,Food,
177d353e-5740-4e13-ac1a-8bb4a50278c7,Drama,
177d353e-5740-4e13-ac1a-8bb4a50278c7,Drama,
4d6af854-653f-4d9c-8d16-de9c78adfea1,History,
c046faf6-5aee-4a5c-94df-49eb94195cc6,Drama,
fd58cba3-d0d9-4834-80be-9f430f857583,Drama,
e1276776-b396-4fd8-9168-a1e1509e5487,Drama,
edba078f-2d5f-4491-b00e-f7e66d2b4b72,Drama,
76712910-ef23-4f8e-ae7e-7a6c8be7cb2e,Drama,
706c9b2a-fce7-4de9-a5a1-95f59ad1d6a9,Drama,
03b327b6-8c20-47b0-a1e1-7aa27c3e6bb6,Drama,
31b3ecd7-ef52-43ed-9638-d9099aba5d50,Drama,
9675eb7f-bc4d-4e9e-bf04-1aac011e219d,Drama,
bd719716-d8ce-4f04-82d3-a679e1a2c534,Drama,
d5919656-0ca1-4cc5-8b27-cdd43f2622bb,Drama,
f9145243-0149-4b27-9aab-35854fd649f6,Drama,
d83819f6-c77e-4565-bad3-f08c2bce280f,Drama,
7f287309-4e84-4d9a-89e5-b69e5ed4abd1,Drama,
015a242d-9031-487f-ac0f-63fa80ed0273,Drama,
ab3a9993-19d1-4358-8723-6f01843fbef5,Arts and Music,
58cdd278-f813-45df-a250-12b86ed2902d,Drama,
45f68ab2-a5bb-408c-9079-d038c6ef0735,Drama,
bdb12f20-5698-4f0e-90f9-c0538fba2fff,Drama,
c509a2a2-c697-4a78-b954-644e18651bcf,Drama,
7cbbc3bc-6820-4961-becc-461523f5112c,Arts and Music,
ab3a9993-19d1-4358-8723-6f01843fbef5,Arts and Music,
9b9eb743-cb30-4cec-b48b-636bd38292c0,Home and How To,
e58a090e-5953-4d99-9d83-e46c663c22c8,Home and How To,
cf500600-4660-4bf6-9374-7f54a070d812,Home and How To,
1db2cef2-bb4a-46e0-96ba-0ee784a844a3,Home and How To,
246ae6d7-58db-49e0-a5d9-7b7b5c089a03,Home and How To,
5ae22495-873d-4493-a302-73c432d74e1e,Home and How To,
520018b1-a6a0-4b18-8ea3-164855663e02,Home and How To,
ae94728f-d250-46e2-a24d-117775c60a6f,Home and How To,
84e9d918-50a7-494b-bee7-6693358aab75,Home and How To,
392324cc-b113-44fa-841e-a62293924806,Home and How To,
4b7fcd1d-f2c1-4873-af89-6768ff9c30b7,Science and Nature,
f466faba-9f47-49c2-8cc9-9619988124d2,Science and Nature,
c11ccc89-b066-4f3b-8820-a34f19302271,Science and Nature,
11e87d97-5c11-4a0b-9c8b-e1d761097938,Arts and Music,
f8005c72-8bf1-421e-875f-5646d1610c29,Drama,
57252425-baf9-439c-a517-2f733ba65986,Drama,
30db7ecf-cf6e-4b0b-94cc-5e1cfce3d224,Drama,
fd2d94b5-05ca-4001-a6ad-5f9f45658611,Drama,
ad8981fe-d46c-4e41-be16-e6eb45ec5b12,Drama,
7cbbc3bc-6820-4961-becc-461523f5112c,Arts and Music,
d1981cc0-cea5-4592-be2a-951333796e27,Science and Nature,
fafeb27d-72f1-4504-a812-4241a13f3493,Drama,
e1416b7c-4224-4ead-a5e2-8e168c16da6b,Drama,
ab3a9993-19d1-4358-8723-6f01843fbef5,Arts and Music,
8f9a036a-cc13-400a-9151-c9181b21ac00,Drama,
4f54f40e-1daf-44fb-99ff-9d26f04335e8,Drama,
2ad085da-2b2e-4f4d-a773-a6c9b37282a1,Drama,
98ddb991-0a56-4ca7-896f-69159c10b85f,Drama,
d22ce9bb-936b-4231-8228-26789985e308,Drama,
d3268119-2b9b-4b82-b442-9930d44a1586,Drama,
5bc5a0e0-4827-4d04-8aa8-a3aaf08a824c,History,
a0e46753-11b0-46b6-9cbc-7a90b4f7f3bd,Science and Nature,
ea4bcfb6-353b-4f71-bb03-4fced7cfac15,Arts and Music,
ddc21cba-d3bb-4cec-97f3-a8c0888f952e,Arts and Music,
88feae5e-c8d9-408b-8b3d-50919abad64a,Drama,
e44c8c1e-813e-48a7-8ad8-e8c949b9706e,Drama,
5187277d-f7b3-4c0e-a3ff-eaa1a6664643,Drama,
a521c96b-b8cd-4e22-92f2-83dc0b35a735,Drama,
eb71cf78-d14b-49e7-ab36-5b9273c19f1a,Drama,
915dc97a-8999-481f-8ec9-4eb0eaf85483,Drama,
4df854d3-4b48-4166-a428-4652fe792fa5,Drama,
c8d88e54-d7be-42c3-8e2e-648e5c4ba454,Drama,
c2f78a14-02ff-4980-a4be-814d7238d74f,Drama,
c0b93e55-1629-44d2-842e-db38a348e3dc,Drama,
3ad56d20-990e-4b1d-92dd-89c0e1aba93d,Drama,
195b1a77-30d4-4dd4-a493-b1bb181da1bc,Drama,
6d083fc8-d211-413c-9589-15e95c5c7ca6,Drama,
12fb4c08-2104-4962-9186-67d5fbc45026,Drama,
4fc172af-29a9-4bf1-8c23-65baa498014d,Drama,
a50193f7-95bc-4ffd-bb85-3c0800a6ca8e,Drama,
ca28e191-bfc3-43e5-a5d7-b2416e9d4d85,Drama,
5274e031-986d-43f8-b638-2d345e2e7762,Drama,
0af9e85a-3249-48cf-9685-3c0974e0c1a3,Drama,
2a3104e8-07f5-4950-bf09-0c55e179fbec,Drama,
950bc96a-3f3d-4d1f-a294-3cbc63c8b8a4,Drama,
7c419f0a-3135-40e9-b466-1e0832867a45,Drama,
7fb907ff-2058-4009-bbba-ab3960cd3659,Drama,
89a09996-be06-4825-9933-b7c79996db27,Drama,
28e34025-6702-4294-9af6-15de7f553122,Drama,
760a6f9a-6bdb-441a-abd3-9c5a05f517b9,Drama,
29173fa5-4378-4632-820c-3c6e7fe4e0b4,Drama,
6893e213-ec28-4cd3-b5c8-2582604fad51,Drama,
02e8fd51-4779-4e23-a2a6-0fec31d30414,Drama,
6ea9bcbb-a013-4605-92a2-1a8e2276299a,Drama,
fef83420-8a41-4634-9f69-4eff718e2881,Drama,
ce6841d1-d0d0-4014-ae3b-c25c688628f6,Drama,
37eb55e1-d72a-462b-9c9b-eaa3a4269380,Drama,
359f6492-ab82-4661-b563-8403ef20a788,Drama,
0edc45e4-e744-41b0-9a69-7e234c9e13e7,Drama,
b14e841e-bdb3-4ee3-9e51-162a1f0b6cc5,Drama,
a8dbae65-6833-49ea-8f56-55947f55a4ee,Drama,
1872eb5a-854a-4bcc-a841-5d10664af347,Drama,
31564362-b72f-4cd4-867e-66f0658d2fa7,Drama,
f2dd046b-c411-4e7e-a976-77bb43bdc60a,Drama,
777bd0eb-ca94-41d4-8ba6-b01268307c6c,Drama,
a961d59d-e014-4bcd-b4d2-44a023ae1a11,Drama,
3e36efc9-8972-44e3-bda7-50ef3e5e15d1,Drama,
835ae130-77d9-4620-b1d1-49ac8378b673,Drama,
2a224f2c-5213-4e7c-baa4-010238d42a37,Science and Nature,
f829e61a-3c43-4107-a56d-88241e7aaa8a,Arts and Music,
fde0b61f-e674-427a-a9b5-c5b8eb8c520c,Science and Nature,
7d2598c7-ee4d-43f7-ad8f-e9ef8b2d8d9b,Drama,
500aea2e-e805-4d27-9b5c-40bbad9cbe19,Drama,
c7dd113d-f234-43da-9509-94f67d341d4b,Drama,
d80bb037-d1dc-431e-a9aa-8716ce64a1cd,Drama,
58779c41-edb8-47ec-8b75-d087fc6d4dd2,Science and Nature,
1ce4f7ca-1454-4995-bc62-382267c0fa59,Drama,
1f920534-460b-414d-9cee-00696571a38d,Culture,
abbedfff-a958-4afb-abda-1732134b28b0,Drama,
a489d708-fcb9-41b8-a0cb-44af4d52adab,Drama,
4e7105c9-2c16-483c-ab77-e7ccd994d795,Drama,
